x,alpha_max_M_2.6Msun_delta_0.001,alpha_max_M_2.6Msun_delta_0.01,alpha_max_M_3.0Msun_delta_0.001,alpha_max_M_3.0Msun_delta_0.01
2.4244620170823308e-06,3.138017689297312e+42,3.138017689297313e+43,4.177834201727191e+42,4.1778342017271896e+43
2.5196359293170133e-06,2.396615998763297e+42,2.396615998763297e+43,3.190760945099064e+42,3.190760945099064e+43
2.6185459584742326e-06,1.8303810794634596e+42,1.8303810794634595e+43,2.436897886859635e+42,2.4368978868596345e+43
2.721338768375309e-06,1.3979272747611463e+42,1.3979272747611465e+43,1.8611457800074432e+42,1.8611457800074431e+43
2.828166780230035e-06,1.0676468811561453e+42,1.0676468811561453e+43,1.421423362485992e+42,1.421423362485992e+43
2.9391883986468844e-06,8.153999671573457e+41,8.153999671573457e+42,1.085591672250904e+42,1.0855916722509038e+43
3.054568246515432e-06,6.227500054294293e+41,6.227500054294292e+42,8.291050368143286e+41,8.291050368143286e+42
3.174477409109193e-06,4.7561636203988156e+41,4.756163620398815e+42,6.332170500530965e+41,6.332170500530965e+42
3.2990936877709422e-06,3.632451543673096e+41,3.632451543673096e+42,4.836104126191991e+41,4.836104126191991e+42
3.428601863556583e-06,2.7742325853083492e+41,2.7742325853083495e+42,3.693504921268512e+41,3.693504921268512e+42
3.563193971228584e-06,2.11878018794994e+41,2.11878018794994e+42,2.820861196974772e+41,2.820861196974772e+42
3.7030695840051406e-06,1.6181878420696058e+41,1.6181878420696056e+42,2.154392097429948e+41,2.154392097429948e+42
3.8484361094874335e-06,1.235867637569245e+41,1.2358676375692448e+42,1.645385908006391e+41,1.6453859080063905e+42
3.999509097203661e-06,9.4387608263365e+40,9.438760826336501e+41,1.2566397549856288e+41,1.2566397549856284e+42
4.156512558225988e-06,7.208717361251825e+40,7.208717361251824e+41,9.597404770897397e+40,9.597404770897397e+41
4.319679297334174e-06,5.505553785426657e+40,5.5055537854266566e+41,7.329879300124246e+40,7.329879300124244e+41
4.489251258218607e-06,4.204787149113868e+40,4.204787149113868e+41,5.598089399707811e+40,5.598089399707811e+41
4.665479882234468e-06,3.2113453866691033e+40,3.2113453866691044e+41,4.27545983432277e+40,4.27545983432277e+41
4.848626481239078e-06,2.45261857347927e+40,2.4526185734792712e+41,3.2653205859931114e+40,3.265320585993111e+41
5.03896262506515e-06,1.873151922960576e+40,1.873151922960576e+41,2.4938413175510617e+40,2.4938413175510615e+41
5.236770544204655e-06,1.4305926390449503e+40,1.4305926390449505e+41,1.9046351703261172e+40,1.904635170326117e+41
5.442343548300273e-06,1.0925943828519836e+40,1.0925943828519837e+41,1.4546374919626997e+40,1.4546374919627e+41
5.655986461065002e-06,8.344531034862433e+39,8.344531034862432e+40,1.110958273872217e+40,1.1109582738722174e+41
5.878016072274912e-06,6.373014377125057e+39,6.373014377125059e+40,8.484782454752295e+39,8.4847824547522955e+40
6.108761607505039e-06,4.867297086108182e+39,4.867297086108182e+40,6.480129256652904e+39,6.480129256652905e+40
6.34856521630521e-06,3.7173273308962325e+39,3.717327330896233e+40,4.949104434625161e+39,4.949104434625161e+40
6.597782479539533e-06,2.839054612445481e+39,2.839054612445481e+40,3.77980643668777e+39,3.77980643668777e+40
6.856782936641738e-06,2.1682865747153465e+39,2.1682865747153468e+40,2.886772066928716e+39,2.886772066928716e+40
7.125950633568411e-06,1.655997232439692e+39,1.6559972324396923e+40,2.2047300431889387e+39,2.2047300431889393e+40
7.405684692262442e-06,1.2647436975321083e+39,1.2647436975321084e+40,1.68383036653683e+39,1.6838303665368303e+40
7.69639990247115e-06,9.659295054112671e+38,9.659295054112671e+39,1.286000820813817e+39,1.2860008208138168e+40
