x,alpha_max_M_2.6Msun_delta_0.001,alpha_max_M_2.6Msun_delta_0.01,alpha_max_M_3.0Msun_delta_0.001,alpha_max_M_3.0Msun_delta_0.01
0.0135031403786987,1.84128611016248e+16,1.8412861101624803e+17,2.4514164188553724e+16,2.4514164188553725e+17
0.0140332153760548,1.4049015068094966e+16,1.4049015068094966e+17,1.870431000190158e+16,1.8704310001901574e+17
0.0145840988294398,1.0719005070928232e+16,1.0719005070928232e+17,1.427086473940149e+16,1.427086473940149e+17
0.015156607589006,8177988138836816.0,8.177988138836816e+16,1.088785403099576e+16,1.0887854030995758e+17
0.0157515905709162,6239090171552467.0,6.239090171552467e+16,8306480997629022.0,8.306480997629022e+16
0.016369930016117,4759684843210602.0,4.759684843210602e+16,6336858519067368.0,6.336858519067368e+16
0.0170125427985258,3630919513797128.0,3.630919513797128e+16,4834064441445880.0,4.83406444144588e+16
0.017680381784572,2769719919714297.0,2.7697199197142976e+16,3687496934530869.0,3.687496934530869e+16
0.0183744372461072,2112687142364508.8,2.112687142364509e+16,2812749154035588.5,2.8127491540355884e+16
0.0190957383287809,1611439099631094.2,1.6114390996310944e+16,2145407085307669.2,2.1454070853076696e+16
0.019845354578058,1229054733847559.5,1.2290547338475596e+16,1636315474057401.5,1.6363154740574014e+16
0.0206243975251409,937359942399481.4,9373599423994814.0,1247964420354339.0,1.247964420354339e+16
0.0214340223351485,714856039361455.5,7148560393614556.0,951731413351050.0,9517314133510500.0
0.0222754295199955,545138673097734.56,5451386730977346.0,725776339923019.2,7257763399230194.0
0.0231498667185116,415691110133830.3,4156911101338303.0,553434909941489.94,5534349099414899.0
0.0240586305464406,316963267446898.9,3169632674468988.5,421992515831670.0,4219925158316700.0
0.0250030685190632,241668847445443.3,2416688474454433.0,321748465533874.2,3217484655338742.0
0.0259845810492924,184248939846472.25,1842489398464722.5,245301842990865.3,2453018429908653.0
0.0270046235242068,140462676292738.12,1404626762927381.2,187006521691515.2,1870065216915152.0
0.0280647084630983,107074853108862.58,1070748531088625.8,142555277807657.25,1425552778076572.5
0.029166407760237,81617559308276.66,816175593082766.5,108662431031729.23,1086624310317292.4
0.0303113550156757,62208283212402.19,622082832124021.9,82821678833079.83,828216788330798.2
0.0315012479575532,47411120635868.57,474111206358685.75,63121314456038.03,631213144560380.2
0.0327378509594857,36130874986646.73,361308749866467.3,48103235928967.53,481032359289675.3
0.0340229976567806,27532257258069.57,275322572580695.7,36655372089145.87,366553720891458.7
0.0353585936653517,20978239188783.062,209782391887830.62,27929608387433.062,279296083874330.62
0.0367466194073668,15983021291706.818,159830212917068.2,21279170358781.26,212791703587812.62
0.0381891330478185,12176152407260.88,121761524072608.8,16210853796649.098,162108537966490.97
0.0396882735463715,9275157853882.137,92751578538821.38,12348582941559.057,123485829415590.56
0.0412462638290134,7064659384690.153,70646593846901.55,9405611606836.002,94056116068360.02
0.0428654140842092,5380448007506.393,53804480075063.93,7163318353188.983,71633183531889.83
0.0445481251884498,4097335394652.2666,40973353946522.67,5455032330158.343,54550323301583.42
0.0462968922662726,3119887897423.447,31198878974234.47,4153696904853.7007,41536969048537.0
0.0481143083900325,2375359542645.7896,23753595426457.9,3162460929558.0034,31624609295580.035
0.0500030684249108,1808302437789.6943,18083024377896.95,2407503245577.996,24075032455779.957
0.0519659730248619,1376456663005.3572,13764566630053.572,1832560646013.049,18325606460130.49
0.0540059327854237,1047616078005.4788,10476160780054.79,1394755133439.2468,13947551334392.469
0.0561259725595496,797238460276.8457,7972384602768.457,1061412151256.1554,10614121512561.553
0.058329235942862,606623316192.7302,6066233161927.303,807634592564.2858,8076345925642.857
0.0606189899349757,461522611160.51184,4615226111605.119,614453180539.143,6144531805391.429
0.0629986297838069,351081634329.5196,3510816343295.196,467416377065.92834,4674163770659.283
0.0654716840200472,267031602121.11096,2670316021211.11,355515446610.94653,3555154466109.465
0.0680418196892709,203074209661.21185,2030742096612.119,270365072034.1577,2703650720341.5776
0.0707128477894299,154412531145.25186,1544125311452.5188,205578813654.92108,2055788136549.211
0.0734887289218038,117393495427.62856,1173934954276.2856,156293115214.29834,1562931152142.9834
0.0763735791637801,89235419966.57521,892354199665.7522,118804553209.9374,1188045532099.3738
0.0793716761721754,67820383743.32381,678203837433.2382,90293410309.15892,902934103091.5892
0.0824874655261458,51536022616.61335,515360226166.1335,68613047862.35504,686130478623.5504
0.0857255673190932,39154993311.0631,391549933110.6311,52129428964.43312,521294289644.3312
0.0890907830093412,29743145353.853825,297431453538.53827,39598862157.49769,395988621574.9769
0.0925881025397394,22589570113.564373,225895701135.64377,30074871452.97032,300748714529.7032
0.0962227117367513,17153320067.271872,171533200672.71875,22837260444.592728,228372604445.92728
0.0999999999999999,13022829600.298197,130228296002.98198,17338086745.959137,173380867459.59134
